Date,Infected
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,0
3/13/2020,0
3/14/2020,0
3/15/2020,0
3/16/2020,0
3/17/2020,0
3/18/2020,0
3/19/2020,0
3/20/2020,0
3/21/2020,3
3/22/2020,3
3/23/2020,4
3/24/2020,4
3/25/2020,7
3/26/2020,9
3/27/2020,11
3/28/2020,13
3/29/2020,13
3/30/2020,17
3/31/2020,16
4/1/2020,17
4/2/2020,17
4/3/2020,17
4/4/2020,20
4/5/2020,23
4/6/2020,25
4/7/2020,28
4/8/2020,34
4/9/2020,52
4/10/2020,55
4/11/2020,66
4/12/2020,72
4/13/2020,89
4/14/2020,97
4/15/2020,110
4/16/2020,118
4/17/2020,141
4/18/2020,169
4/19/2020,178
4/20/2020,202
4/21/2020,226
4/22/2020,235
4/23/2020,268
4/24/2020,296
4/25/2020,314
4/26/2020,336
4/27/2020,362
4/28/2020,380
4/29/2020,392
4/30/2020,449
5/1/2020,478
5/2/2020,507
5/3/2020,526
5/4/2020,549
5/5/2020,576
5/6/2020,612
5/7/2020,630
5/8/2020,671
5/9/2020,710
5/10/2020,716
5/11/2020,727
5/12/2020,744
5/13/2020,817
5/14/2020,859
5/15/2020,927
5/16/2020,962
5/17/2020,981
5/18/2020,988
5/19/2020,1023
5/20/2020,1080
5/21/2020,1121
5/22/2020,1139
5/23/2020,1144
5/24/2020,1191
5/25/2020,1191
5/26/2020,1214
5/27/2020,1250
5/28/2020,1290
5/29/2020,1414
5/30/2020,1491
5/31/2020,1524
6/1/2020,1526
6/2/2020,1569
6/3/2020,1586
6/4/2020,1637
6/5/2020,1656
6/6/2020,1692
6/7/2020,1727
6/8/2020,1732
6/9/2020,1747
6/10/2020,1811
6/11/2020,1887
6/12/2020,1927
6/13/2020,1967
6/14/2020,1972
6/15/2020,1975
6/16/2020,1996
6/17/2020,1998
6/18/2020,2059
6/19/2020,2103
6/20/2020,2116
6/21/2020,2117
6/22/2020,2121
6/23/2020,2165
6/24/2020,2194
6/25/2020,2235
6/26/2020,2250
6/27/2020,2250
6/28/2020,2303
6/29/2020,2309
6/30/2020,2337
7/1/2020,2381
7/2/2020,2405
7/3/2020,2418
7/4/2020,2423
7/5/2020,2439
7/6/2020,2441
7/7/2020,2471
7/8/2020,2499
7/9/2020,2520
7/10/2020,2534
7/11/2020,2551
7/12/2020,2579
7/13/2020,2580
7/14/2020,2611
7/15/2020,2644
7/16/2020,2658
7/17/2020,2691
7/18/2020,2735
7/19/2020,2741
7/20/2020,2740
7/21/2020,2779
7/22/2020,2797
7/23/2020,2841
7/24/2020,2870
7/25/2020,2908
7/26/2020,2920
7/27/2020,2930
7/28/2020,2945
7/29/2020,2950
7/30/2020,2969
7/31/2020,2994
8/1/2020,3054
8/2/2020,3064
8/3/2020,3084
8/4/2020,3098
