Date,Infected
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,0
3/13/2020,0
3/14/2020,0
3/15/2020,0
3/16/2020,0
3/17/2020,0
3/18/2020,0
3/19/2020,0
3/20/2020,1
3/21/2020,1
3/22/2020,1
3/23/2020,1
3/24/2020,1
3/25/2020,1
3/26/2020,2
3/27/2020,2
3/28/2020,3
3/29/2020,3
3/30/2020,4
3/31/2020,4
4/1/2020,4
4/2/2020,4
4/3/2020,5
4/4/2020,7
4/5/2020,8
4/6/2020,9
4/7/2020,9
4/8/2020,9
4/9/2020,11
4/10/2020,11
4/11/2020,13
4/12/2020,15
4/13/2020,16
4/14/2020,15
4/15/2020,15
4/16/2020,18
4/17/2020,20
4/18/2020,22
4/19/2020,24
4/20/2020,28
4/21/2020,29
4/22/2020,31
4/23/2020,31
4/24/2020,34
4/25/2020,36
4/26/2020,36
4/27/2020,36
4/28/2020,37
4/29/2020,38
4/30/2020,39
5/1/2020,39
5/2/2020,39
5/3/2020,39
5/4/2020,39
5/5/2020,39
5/6/2020,40
5/7/2020,40
5/8/2020,41
5/9/2020,41
5/10/2020,41
5/11/2020,42
5/12/2020,43
5/13/2020,43
5/14/2020,44
5/15/2020,45
5/16/2020,46
5/17/2020,46
5/18/2020,46
5/19/2020,46
5/20/2020,46
5/21/2020,51
5/22/2020,56
5/23/2020,58
5/24/2020,59
5/25/2020,59
5/26/2020,64
5/27/2020,63
5/28/2020,67
5/29/2020,67
5/30/2020,72
5/31/2020,74
6/1/2020,76
6/2/2020,89
6/3/2020,94
6/4/2020,105
6/5/2020,120
6/6/2020,122
6/7/2020,141
6/8/2020,149
6/9/2020,156
6/10/2020,167
6/11/2020,171
6/12/2020,178
6/13/2020,206
6/14/2020,216
6/15/2020,221
6/16/2020,241
6/17/2020,248
6/18/2020,267
6/19/2020,332
6/20/2020,362
6/21/2020,363
6/22/2020,372
6/23/2020,432
6/24/2020,441
6/25/2020,468
6/26/2020,509
6/27/2020,538
6/28/2020,561
6/29/2020,580
6/30/2020,614
7/1/2020,657
7/2/2020,678
7/3/2020,710
7/4/2020,740
7/5/2020,791
7/6/2020,826
7/7/2020,855
7/8/2020,884
7/9/2020,905
7/10/2020,980
7/11/2020,1020
7/12/2020,1049
7/13/2020,1062
7/14/2020,1095
7/15/2020,1131
7/16/2020,1140
7/17/2020,1186
7/18/2020,1217
7/19/2020,1258
7/20/2020,1260
7/21/2020,1287
7/22/2020,1296
7/23/2020,1311
7/24/2020,1319
7/25/2020,1363
7/26/2020,1388
7/27/2020,1399
7/28/2020,1422
7/29/2020,1442
7/30/2020,1467
7/31/2020,1503
8/1/2020,1523
8/2/2020,1536
8/3/2020,1557
8/4/2020,1554
8/5/2020,1560
8/6/2020,1565
8/7/2020,1573
8/8/2020,1600
8/9/2020,1603
