Date,Infected
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,0
3/13/2020,0
3/14/2020,0
3/15/2020,0
3/16/2020,0
3/17/2020,0
3/18/2020,0
3/19/2020,2
3/20/2020,8
3/21/2020,11
3/22/2020,14
3/23/2020,17
3/24/2020,18
3/25/2020,23
3/26/2020,28
3/27/2020,41
3/28/2020,56
3/29/2020,62
3/30/2020,71
3/31/2020,81
4/1/2020,85
4/2/2020,114
4/3/2020,126
4/4/2020,147
4/5/2020,155
4/6/2020,167
4/7/2020,179
4/8/2020,186
4/9/2020,210
4/10/2020,214
4/11/2020,238
4/12/2020,243
4/13/2020,253
4/14/2020,270
4/15/2020,266
4/16/2020,299
4/17/2020,304
4/18/2020,314
4/19/2020,333
4/20/2020,337
4/21/2020,342
4/22/2020,353
4/23/2020,372
4/24/2020,391
4/25/2020,402
4/26/2020,420
4/27/2020,425
4/28/2020,439
4/29/2020,453
4/30/2020,486
5/1/2020,498
5/2/2020,512
5/3/2020,527
5/4/2020,540
5/5/2020,561
5/6/2020,588
5/7/2020,618
5/8/2020,659
5/9/2020,679
5/10/2020,699
5/11/2020,713
5/12/2020,720
5/13/2020,772
5/14/2020,795
5/15/2020,823
5/16/2020,839
5/17/2020,866
5/18/2020,901
5/19/2020,943
5/20/2020,961
5/21/2020,972
5/22/2020,979
5/23/2020,1000
5/24/2020,1019
5/25/2020,1028
5/26/2020,1041
5/27/2020,1066
5/28/2020,1078
5/29/2020,1104
5/30/2020,1123
5/31/2020,1151
6/1/2020,1155
6/2/2020,1173
6/3/2020,1186
6/4/2020,1221
6/5/2020,1248
6/6/2020,1267
6/7/2020,1282
6/8/2020,1290
6/9/2020,1289
6/10/2020,1310
6/11/2020,1317
6/12/2020,1345
6/13/2020,1360
6/14/2020,1368
6/15/2020,1373
6/16/2020,1393
6/17/2020,1410
6/18/2020,1439
6/19/2020,1470
6/20/2020,1490
6/21/2020,1536
6/22/2020,1541
6/23/2020,1595
6/24/2020,1611
6/25/2020,1676
6/26/2020,1713
6/27/2020,1735
6/28/2020,1819
6/29/2020,1850
6/30/2020,1885
7/1/2020,1941
7/2/2020,1986
7/3/2020,2087
7/4/2020,2107
7/5/2020,2164
7/6/2020,2190
7/7/2020,2237
7/8/2020,2250
7/9/2020,2338
7/10/2020,2379
7/11/2020,2427
7/12/2020,2457
7/13/2020,2475
7/14/2020,2523
7/15/2020,2532
7/16/2020,2581
7/17/2020,2619
7/18/2020,2647
7/19/2020,2664
7/20/2020,2675
7/21/2020,2745
7/22/2020,2736
7/23/2020,2778
7/24/2020,2821
7/25/2020,2849
7/26/2020,2858
7/27/2020,2870
7/28/2020,2880
7/29/2020,2903
7/30/2020,2933
7/31/2020,2947
8/1/2020,2964
8/2/2020,2990
8/3/2020,2997
8/4/2020,3013
8/5/2020,3033
