Date,Infected
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,0
3/13/2020,0
3/14/2020,0
3/15/2020,0
3/16/2020,0
3/17/2020,0
3/18/2020,0
3/19/2020,0
3/20/2020,0
3/21/2020,0
3/22/2020,0
3/23/2020,0
3/24/2020,0
3/25/2020,0
3/26/2020,0
3/27/2020,0
3/28/2020,1
3/29/2020,1
3/30/2020,1
3/31/2020,1
4/1/2020,1
4/2/2020,2
4/3/2020,2
4/4/2020,3
4/5/2020,3
4/6/2020,3
4/7/2020,3
4/8/2020,3
4/9/2020,3
4/10/2020,3
4/11/2020,3
4/12/2020,3
4/13/2020,3
4/14/2020,3
4/15/2020,3
4/16/2020,5
4/17/2020,5
4/18/2020,7
4/19/2020,7
4/20/2020,8
4/21/2020,9
4/22/2020,10
4/23/2020,12
4/24/2020,11
4/25/2020,11
4/26/2020,11
4/27/2020,11
4/28/2020,11
4/29/2020,12
4/30/2020,13
5/1/2020,13
5/2/2020,14
5/3/2020,14
5/4/2020,14
5/5/2020,14
5/6/2020,15
5/7/2020,17
5/8/2020,19
5/9/2020,19
5/10/2020,19
5/11/2020,19
5/12/2020,19
5/13/2020,19
5/14/2020,21
5/15/2020,22
5/16/2020,22
5/17/2020,22
5/18/2020,22
5/19/2020,22
5/20/2020,22
5/21/2020,22
5/22/2020,24
5/23/2020,23
5/24/2020,24
5/25/2020,24
5/26/2020,24
5/27/2020,25
5/28/2020,25
5/29/2020,28
5/30/2020,30
5/31/2020,31
6/1/2020,31
6/2/2020,35
6/3/2020,37
6/4/2020,39
6/5/2020,42
6/6/2020,43
6/7/2020,45
6/8/2020,46
6/9/2020,47
6/10/2020,48
6/11/2020,49
6/12/2020,54
6/13/2020,59
6/14/2020,70
6/15/2020,87
6/16/2020,91
6/17/2020,99
6/18/2020,115
6/19/2020,125
6/20/2020,143
6/21/2020,160
6/22/2020,176
6/23/2020,192
6/24/2020,201
6/25/2020,216
6/26/2020,237
6/27/2020,249
6/28/2020,268
6/29/2020,271
6/30/2020,292
7/1/2020,309
7/2/2020,314
7/3/2020,325
7/4/2020,335
7/5/2020,354
7/6/2020,349
7/7/2020,361
7/8/2020,373
7/9/2020,385
7/10/2020,424
7/11/2020,439
7/12/2020,445
7/13/2020,446
7/14/2020,468
7/15/2020,479
7/16/2020,482
7/17/2020,512
7/18/2020,551
7/19/2020,570
7/20/2020,573
7/21/2020,596
7/22/2020,600
7/23/2020,622
7/24/2020,644
7/25/2020,686
7/26/2020,714
7/27/2020,703
7/28/2020,724
7/29/2020,730
7/30/2020,778
7/31/2020,809
8/1/2020,822
8/2/2020,833
8/3/2020,841
8/4/2020,846
8/5/2020,871
8/6/2020,884
8/7/2020,887
8/8/2020,905
8/9/2020,912
8/10/2020,916
8/11/2020,950
8/12/2020,976
8/13/2020,978
