Date,Infected
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,0
3/13/2020,0
3/14/2020,1
3/15/2020,1
3/16/2020,1
3/17/2020,1
3/18/2020,1
3/19/2020,1
3/20/2020,1
3/21/2020,1
3/22/2020,2
3/23/2020,2
3/24/2020,2
3/25/2020,2
3/26/2020,2
3/27/2020,4
3/28/2020,2
3/29/2020,2
3/30/2020,2
3/31/2020,2
4/1/2020,2
4/2/2020,2
4/3/2020,2
4/4/2020,3
4/5/2020,2
4/6/2020,2
4/7/2020,2
4/8/2020,2
4/9/2020,2
4/10/2020,2
4/11/2020,2
4/12/2020,2
4/13/2020,2
4/14/2020,2
4/15/2020,2
4/16/2020,2
4/17/2020,2
4/18/2020,2
4/19/2020,2
4/20/2020,2
4/21/2020,2
4/22/2020,2
4/23/2020,4
4/24/2020,7
4/25/2020,6
4/26/2020,7
4/27/2020,9
4/28/2020,9
4/29/2020,10
4/30/2020,16
5/1/2020,17
5/2/2020,17
5/3/2020,18
5/4/2020,18
5/5/2020,19
5/6/2020,19
5/7/2020,19
5/8/2020,18
5/9/2020,19
5/10/2020,19
5/11/2020,19
5/12/2020,20
5/13/2020,21
5/14/2020,21
5/15/2020,21
5/16/2020,20
5/17/2020,20
5/18/2020,20
5/19/2020,20
5/20/2020,21
5/21/2020,21
5/22/2020,21
5/23/2020,21
5/24/2020,21
5/25/2020,24
5/26/2020,24
5/27/2020,25
5/28/2020,26
5/29/2020,27
5/30/2020,28
5/31/2020,32
6/1/2020,32
6/2/2020,37
6/3/2020,41
6/4/2020,38
6/5/2020,40
6/6/2020,39
6/7/2020,40
6/8/2020,41
6/9/2020,42
6/10/2020,45
6/11/2020,48
6/12/2020,48
6/13/2020,48
6/14/2020,50
6/15/2020,50
6/16/2020,55
6/17/2020,56
6/18/2020,58
6/19/2020,59
6/20/2020,61
6/21/2020,63
6/22/2020,65
6/23/2020,66
6/24/2020,71
6/25/2020,70
6/26/2020,75
6/27/2020,82
6/28/2020,85
6/29/2020,92
6/30/2020,96
7/1/2020,108
7/2/2020,117
7/3/2020,125
7/4/2020,127
7/5/2020,140
7/6/2020,152
7/7/2020,172
7/8/2020,179
7/9/2020,180
7/10/2020,184
7/11/2020,201
7/12/2020,204
7/13/2020,207
7/14/2020,218
7/15/2020,221
7/16/2020,236
7/17/2020,240
7/18/2020,278
7/19/2020,292
7/20/2020,298
7/21/2020,311
7/22/2020,314
7/23/2020,328
7/24/2020,353
7/25/2020,362
7/26/2020,366
7/27/2020,396
7/28/2020,431
7/29/2020,442
7/30/2020,435
7/31/2020,451
8/1/2020,478
8/2/2020,489
8/3/2020,490
8/4/2020,492
8/5/2020,511
8/6/2020,518
8/7/2020,529
8/8/2020,539
8/9/2020,545
8/10/2020,549
8/11/2020,555
8/12/2020,559
8/13/2020,574
