Date,Infected
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,0
3/13/2020,0
3/14/2020,0
3/15/2020,0
3/16/2020,0
3/17/2020,0
3/18/2020,0
3/19/2020,0
3/20/2020,0
3/21/2020,0
3/22/2020,0
3/23/2020,0
3/24/2020,0
3/25/2020,0
3/26/2020,0
3/27/2020,0
3/28/2020,0
3/29/2020,0
3/30/2020,1
3/31/2020,1
4/1/2020,1
4/2/2020,1
4/3/2020,1
4/4/2020,1
4/5/2020,1
4/6/2020,1
4/7/2020,1
4/8/2020,1
4/9/2020,1
4/10/2020,1
4/11/2020,2
4/12/2020,2
4/13/2020,2
4/14/2020,2
4/15/2020,2
4/16/2020,2
4/17/2020,2
4/18/2020,2
4/19/2020,2
4/20/2020,2
4/21/2020,2
4/22/2020,2
4/23/2020,2
4/24/2020,2
4/25/2020,2
4/26/2020,2
4/27/2020,2
4/28/2020,2
4/29/2020,2
4/30/2020,2
5/1/2020,2
5/2/2020,2
5/3/2020,2
5/4/2020,2
5/5/2020,2
5/6/2020,2
5/7/2020,2
5/8/2020,2
5/9/2020,2
5/10/2020,2
5/11/2020,2
5/12/2020,2
5/13/2020,2
5/14/2020,2
5/15/2020,2
5/16/2020,2
5/17/2020,2
5/18/2020,2
5/19/2020,3
5/20/2020,3
5/21/2020,3
5/22/2020,3
5/23/2020,3
5/24/2020,3
5/25/2020,3
5/26/2020,3
5/27/2020,3
5/28/2020,4
5/29/2020,4
5/30/2020,4
5/31/2020,6
6/1/2020,6
6/2/2020,8
6/3/2020,8
6/4/2020,8
6/5/2020,9
6/6/2020,9
6/7/2020,10
6/8/2020,10
6/9/2020,10
6/10/2020,10
6/11/2020,12
6/12/2020,11
6/13/2020,11
6/14/2020,11
6/15/2020,12
6/16/2020,12
6/17/2020,12
6/18/2020,13
6/19/2020,14
6/20/2020,13
6/21/2020,13
6/22/2020,13
6/23/2020,16
6/24/2020,16
6/25/2020,17
6/26/2020,17
6/27/2020,18
6/28/2020,18
6/29/2020,18
6/30/2020,18
7/1/2020,18
7/2/2020,19
7/3/2020,19
7/4/2020,18
7/5/2020,21
7/6/2020,26
7/7/2020,26
7/8/2020,26
7/9/2020,27
7/10/2020,29
7/11/2020,32
7/12/2020,32
7/13/2020,33
7/14/2020,33
7/15/2020,38
7/16/2020,40
7/17/2020,38
7/18/2020,39
7/19/2020,40
7/20/2020,40
7/21/2020,39
7/22/2020,39
7/23/2020,39
7/24/2020,40
7/25/2020,40
7/26/2020,48
7/27/2020,54
7/28/2020,52
7/29/2020,52
7/30/2020,54
7/31/2020,55
8/1/2020,55
8/2/2020,55
8/3/2020,57
8/4/2020,57
8/5/2020,57
8/6/2020,58
8/7/2020,58
8/8/2020,57
8/9/2020,57
8/10/2020,57
8/11/2020,57
8/12/2020,57
8/13/2020,57
