Date,Infected
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,0
3/13/2020,0
3/14/2020,0
3/15/2020,0
3/16/2020,0
3/17/2020,0
3/18/2020,0
3/19/2020,0
3/20/2020,0
3/21/2020,0
3/22/2020,0
3/23/2020,0
3/24/2020,0
3/25/2020,0
3/26/2020,2
3/27/2020,2
3/28/2020,2
3/29/2020,2
3/30/2020,2
3/31/2020,2
4/1/2020,2
4/2/2020,2
4/3/2020,2
4/4/2020,2
4/5/2020,3
4/6/2020,3
4/7/2020,3
4/8/2020,3
4/9/2020,4
4/10/2020,4
4/11/2020,4
4/12/2020,4
4/13/2020,4
4/14/2020,4
4/15/2020,5
4/16/2020,5
4/17/2020,5
4/18/2020,5
4/19/2020,5
4/20/2020,5
4/21/2020,6
4/22/2020,6
4/23/2020,6
4/24/2020,8
4/25/2020,7
4/26/2020,7
4/27/2020,7
4/28/2020,7
4/29/2020,8
4/30/2020,14
5/1/2020,15
5/2/2020,14
5/3/2020,14
5/4/2020,14
5/5/2020,16
5/6/2020,18
5/7/2020,20
5/8/2020,22
5/9/2020,22
5/10/2020,23
5/11/2020,23
5/12/2020,22
5/13/2020,25
5/14/2020,27
5/15/2020,36
5/16/2020,37
5/17/2020,38
5/18/2020,38
5/19/2020,38
5/20/2020,40
5/21/2020,45
5/22/2020,48
5/23/2020,49
5/24/2020,50
5/25/2020,51
5/26/2020,51
5/27/2020,54
5/28/2020,53
5/29/2020,54
5/30/2020,70
5/31/2020,78
6/1/2020,79
6/2/2020,92
6/3/2020,91
6/4/2020,110
6/5/2020,149
6/6/2020,158
6/7/2020,181
6/8/2020,183
6/9/2020,189
6/10/2020,205
6/11/2020,211
6/12/2020,217
6/13/2020,221
6/14/2020,221
6/15/2020,222
6/16/2020,238
6/17/2020,238
6/18/2020,245
6/19/2020,257
6/20/2020,268
6/21/2020,273
6/22/2020,279
6/23/2020,286
6/24/2020,289
6/25/2020,299
6/26/2020,309
6/27/2020,315
6/28/2020,328
6/29/2020,332
6/30/2020,342
7/1/2020,345
7/2/2020,346
7/3/2020,351
7/4/2020,357
7/5/2020,363
7/6/2020,371
7/7/2020,374
7/8/2020,381
7/9/2020,384
7/10/2020,394
7/11/2020,398
7/12/2020,407
7/13/2020,410
7/14/2020,412
7/15/2020,422
7/16/2020,422
7/17/2020,428
7/18/2020,434
7/19/2020,435
7/20/2020,435
7/21/2020,445
7/22/2020,445
7/23/2020,448
7/24/2020,457
7/25/2020,462
7/26/2020,463
7/27/2020,463
7/28/2020,466
7/29/2020,466
7/30/2020,468
7/31/2020,469
8/1/2020,472
8/2/2020,473
8/3/2020,474
8/4/2020,476
8/5/2020,476
8/6/2020,477
8/7/2020,478
8/8/2020,478
8/9/2020,476
8/10/2020,477
8/11/2020,479
8/12/2020,486
8/13/2020,488
