Date,Infected
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,1
1/27/2020,1
1/28/2020,1
1/29/2020,1
1/30/2020,1
1/31/2020,1
2/1/2020,1
2/2/2020,1
2/3/2020,1
2/4/2020,1
2/5/2020,1
2/6/2020,1
2/7/2020,1
2/8/2020,1
2/9/2020,1
2/10/2020,1
2/11/2020,1
2/12/2020,1
2/13/2020,1
2/14/2020,1
2/15/2020,1
2/16/2020,1
2/17/2020,1
2/18/2020,1
2/19/2020,1
2/20/2020,1
2/21/2020,1
2/22/2020,1
2/23/2020,1
2/24/2020,1
2/25/2020,1
2/26/2020,1
2/27/2020,1
2/28/2020,1
2/29/2020,1
3/1/2020,1
3/2/2020,1
3/3/2020,1
3/4/2020,1
3/5/2020,1
3/6/2020,2
3/7/2020,2
3/8/2020,2
3/9/2020,2
3/10/2020,2
3/11/2020,3
3/12/2020,3
3/13/2020,3
3/14/2020,4
3/15/2020,4
3/16/2020,8
3/17/2020,9
3/18/2020,11
3/19/2020,22
3/20/2020,34
3/21/2020,49
3/22/2020,81
3/23/2020,139
3/24/2020,199
3/25/2020,251
3/26/2020,299
3/27/2020,399
3/28/2020,454
3/29/2020,545
3/30/2020,690
3/31/2020,788
4/1/2020,871
4/2/2020,961
4/3/2020,1049
4/4/2020,1171
4/5/2020,1326
4/6/2020,1433
4/7/2020,1495
4/8/2020,1559
4/9/2020,1689
4/10/2020,1741
4/11/2020,1891
4/12/2020,1960
4/13/2020,2020
4/14/2020,2056
4/15/2020,2146
4/16/2020,2264
4/17/2020,2404
4/18/2020,2491
4/19/2020,2589
4/20/2020,2636
4/21/2020,2738
4/22/2020,2846
4/23/2020,2970
4/24/2020,3116
4/25/2020,3234
4/26/2020,3359
4/27/2020,3457
4/28/2020,3578
4/29/2020,3723
4/30/2020,3972
5/1/2020,4156
5/2/2020,4421
5/3/2020,4585
5/4/2020,4751
5/5/2020,4929
5/6/2020,5138
5/7/2020,5196
5/8/2020,5525
5/9/2020,5779
5/10/2020,5827
5/11/2020,5988
5/12/2020,6219
5/13/2020,6341
5/14/2020,6599
5/15/2020,6821
5/16/2020,7096
5/17/2020,7240
5/18/2020,7340
5/19/2020,7482
5/20/2020,7644
5/21/2020,7835
5/22/2020,7950
5/23/2020,8177
5/24/2020,8277
5/25/2020,8379
5/26/2020,8448
5/27/2020,8627
5/28/2020,8896
5/29/2020,9112
5/30/2020,9522
5/31/2020,9815
6/1/2020,9937
6/2/2020,10536
6/3/2020,11068
6/4/2020,11229
6/5/2020,12091
6/6/2020,12761
6/7/2020,13498
6/8/2020,14003
6/9/2020,14374
6/10/2020,15282
6/11/2020,16018
6/12/2020,17010
6/13/2020,17791
6/14/2020,18692
6/15/2020,19372
6/16/2020,20775
6/17/2020,22272
6/18/2020,23880
6/19/2020,25999
6/20/2020,28303
6/21/2020,30136
6/22/2020,31650
6/23/2020,33883
6/24/2020,34992
6/25/2020,37135
6/26/2020,39626
6/27/2020,42374
6/28/2020,44962
6/29/2020,45178
6/30/2020,48592
7/1/2020,52266
7/2/2020,54757
7/3/2020,57929
7/4/2020,59829
7/5/2020,62296
7/6/2020,64915
7/7/2020,67543
7/8/2020,70128
7/9/2020,73165
7/10/2020,76328
7/11/2020,78481
7/12/2020,80146
7/13/2020,81216
7/14/2020,84233
7/15/2020,86483
7/16/2020,88954
7/17/2020,91863
7/18/2020,93870
7/19/2020,95471
7/20/2020,96711
7/21/2020,98988
7/22/2020,100543
7/23/2020,102247
7/24/2020,104613
7/25/2020,107291
7/26/2020,108677
7/27/2020,109988
7/28/2020,111446
7/29/2020,113148
7/30/2020,114852
7/31/2020,117293
