Date,Infected
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,0
3/13/2020,0
3/14/2020,0
3/15/2020,0
3/16/2020,0
3/17/2020,0
3/18/2020,0
3/19/2020,0
3/20/2020,0
3/21/2020,0
3/22/2020,0
3/23/2020,0
3/24/2020,0
3/25/2020,0
3/26/2020,2
3/27/2020,4
3/28/2020,5
3/29/2020,6
3/30/2020,7
3/31/2020,7
4/1/2020,7
4/2/2020,8
4/3/2020,9
4/4/2020,12
4/5/2020,16
4/6/2020,20
4/7/2020,23
4/8/2020,23
4/9/2020,27
4/10/2020,28
4/11/2020,30
4/12/2020,30
4/13/2020,40
4/14/2020,45
4/15/2020,45
4/16/2020,51
4/17/2020,51
4/18/2020,52
4/19/2020,54
4/20/2020,56
4/21/2020,59
4/22/2020,62
4/23/2020,69
4/24/2020,73
4/25/2020,81
4/26/2020,88
4/27/2020,96
4/28/2020,99
4/29/2020,105
4/30/2020,117
5/1/2020,122
5/2/2020,127
5/3/2020,135
5/4/2020,141
5/5/2020,147
5/6/2020,150
5/7/2020,158
5/8/2020,171
5/9/2020,178
5/10/2020,193
5/11/2020,198
5/12/2020,207
5/13/2020,213
5/14/2020,220
5/15/2020,242
5/16/2020,250
5/17/2020,250
5/18/2020,251
5/19/2020,262
5/20/2020,267
5/21/2020,277
5/22/2020,288
5/23/2020,303
5/24/2020,304
5/25/2020,319
5/26/2020,329
5/27/2020,339
5/28/2020,350
5/29/2020,369
5/30/2020,383
5/31/2020,396
6/1/2020,403
6/2/2020,409
6/3/2020,422
6/4/2020,428
6/5/2020,447
6/6/2020,485
6/7/2020,500
6/8/2020,512
6/9/2020,513
6/10/2020,552
6/11/2020,563
6/12/2020,584
6/13/2020,586
6/14/2020,589
6/15/2020,618
6/16/2020,624
6/17/2020,636
6/18/2020,676
6/19/2020,686
6/20/2020,717
6/21/2020,721
6/22/2020,723
6/23/2020,813
6/24/2020,841
6/25/2020,881
6/26/2020,927
6/27/2020,962
6/28/2020,1004
6/29/2020,1028
6/30/2020,1071
7/1/2020,1142
7/2/2020,1248
7/3/2020,1342
7/4/2020,1358
7/5/2020,1384
7/6/2020,1413
7/7/2020,1448
7/8/2020,1509
7/9/2020,1595
7/10/2020,1696
7/11/2020,1759
7/12/2020,1825
7/13/2020,1831
7/14/2020,1937
7/15/2020,2045
7/16/2020,2108
7/17/2020,2195
7/18/2020,2229
7/19/2020,2269
7/20/2020,2281
7/21/2020,2403
7/22/2020,2464
7/23/2020,2525
7/24/2020,2602
7/25/2020,2681
7/26/2020,2698
7/27/2020,2725
7/28/2020,2791
7/29/2020,2828
7/30/2020,2865
7/31/2020,2918
8/1/2020,2990
8/2/2020,3027
8/3/2020,3040
8/4/2020,3048
8/5/2020,3073
8/6/2020,3078
8/7/2020,3147
8/8/2020,3150
