Date,Infected
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,0
3/13/2020,0
3/14/2020,0
3/15/2020,0
3/16/2020,0
3/17/2020,1
3/18/2020,2
3/19/2020,3
3/20/2020,3
3/21/2020,10
3/22/2020,13
3/23/2020,25
3/24/2020,32
3/25/2020,37
3/26/2020,43
3/27/2020,49
3/28/2020,57
3/29/2020,62
3/30/2020,88
3/31/2020,91
4/1/2020,102
4/2/2020,129
4/3/2020,148
4/4/2020,177
4/5/2020,195
4/6/2020,210
4/7/2020,222
4/8/2020,240
4/9/2020,286
4/10/2020,287
4/11/2020,321
4/12/2020,335
4/13/2020,345
4/14/2020,355
4/15/2020,390
4/16/2020,410
4/17/2020,435
4/18/2020,452
4/19/2020,459
4/20/2020,473
4/21/2020,485
4/22/2020,527
4/23/2020,564
4/24/2020,583
4/25/2020,612
4/26/2020,625
4/27/2020,628
4/28/2020,665
4/29/2020,682
4/30/2020,712
5/1/2020,741
5/2/2020,766
5/3/2020,777
5/4/2020,800
5/5/2020,869
5/6/2020,892
5/7/2020,912
5/8/2020,945
5/9/2020,981
5/10/2020,983
5/11/2020,1006
5/12/2020,1017
5/13/2020,1099
5/14/2020,1150
5/15/2020,1177
5/16/2020,1238
5/17/2020,1273
5/18/2020,1285
5/19/2020,1320
5/20/2020,1361
5/21/2020,1421
5/22/2020,1470
5/23/2020,1491
5/24/2020,1523
5/25/2020,1543
5/26/2020,1550
5/27/2020,1652
5/28/2020,1678
5/29/2020,1752
5/30/2020,1833
5/31/2020,1866
6/1/2020,1873
6/2/2020,1957
6/3/2020,1994
6/4/2020,2042
6/5/2020,2104
6/6/2020,2152
6/7/2020,2198
6/8/2020,2229
6/9/2020,2253
6/10/2020,2388
6/11/2020,2479
6/12/2020,2512
6/13/2020,2590
6/14/2020,2619
6/15/2020,2636
6/16/2020,2749
6/17/2020,2771
6/18/2020,2874
6/19/2020,2928
6/20/2020,2984
6/21/2020,3009
6/22/2020,3037
6/23/2020,3166
6/24/2020,3248
6/25/2020,3311
6/26/2020,3367
6/27/2020,3397
6/28/2020,3537
6/29/2020,3570
6/30/2020,3625
7/1/2020,3703
7/2/2020,3744
7/3/2020,3817
7/4/2020,3848
7/5/2020,3883
7/6/2020,3904
7/7/2020,4015
7/8/2020,4089
7/9/2020,4150
7/10/2020,4255
7/11/2020,4279
7/12/2020,4337
7/13/2020,4355
7/14/2020,4482
7/15/2020,4529
7/16/2020,4598
7/17/2020,4669
7/18/2020,4768
7/19/2020,4801
7/20/2020,4817
7/21/2020,4877
7/22/2020,4898
7/23/2020,4992
7/24/2020,5028
7/25/2020,5049
7/26/2020,5078
7/27/2020,5079
7/28/2020,5106
7/29/2020,5130
7/30/2020,5182
7/31/2020,5202
8/1/2020,5255
8/2/2020,5271
8/3/2020,5284
