Date,Infected
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,1
3/11/2020,1
3/12/2020,1
3/13/2020,1
3/14/2020,2
3/15/2020,2
3/16/2020,4
3/17/2020,4
3/18/2020,5
3/19/2020,7
3/20/2020,8
3/21/2020,12
3/22/2020,17
3/23/2020,24
3/24/2020,42
3/25/2020,49
3/26/2020,75
3/27/2020,102
3/28/2020,120
3/29/2020,153
3/30/2020,187
3/31/2020,202
4/1/2020,217
4/2/2020,237
4/3/2020,280
4/4/2020,326
4/5/2020,372
4/6/2020,415
4/7/2020,415
4/8/2020,464
4/9/2020,512
4/10/2020,543
4/11/2020,591
4/12/2020,622
4/13/2020,668
4/14/2020,685
4/15/2020,700
4/16/2020,760
4/17/2020,819
4/18/2020,856
4/19/2020,913
4/20/2020,941
4/21/2020,963
4/22/2020,973
4/23/2020,1026
4/24/2020,1060
4/25/2020,1090
4/26/2020,1136
4/27/2020,1164
4/28/2020,1188
4/29/2020,1215
4/30/2020,1241
5/1/2020,1267
5/2/2020,1300
5/3/2020,1326
5/4/2020,1346
5/5/2020,1379
5/6/2020,1425
5/7/2020,1465
5/8/2020,1520
5/9/2020,1554
5/10/2020,1585
5/11/2020,1602
5/12/2020,1623
5/13/2020,1661
5/14/2020,1696
5/15/2020,1750
5/16/2020,1781
5/17/2020,1814
5/18/2020,1825
5/19/2020,1888
5/20/2020,1903
5/21/2020,1944
5/22/2020,1974
5/23/2020,2002
5/24/2020,2027
5/25/2020,2046
5/26/2020,2075
5/27/2020,2119
5/28/2020,2167
5/29/2020,2234
5/30/2020,2290
5/31/2020,2368
6/1/2020,2382
6/2/2020,2496
6/3/2020,2627
6/4/2020,2669
6/5/2020,2883
6/6/2020,2950
6/7/2020,3098
6/8/2020,3154
6/9/2020,3161
6/10/2020,3350
6/11/2020,3479
6/12/2020,3628
6/13/2020,3889
6/14/2020,3910
6/15/2020,3944
6/16/2020,4329
6/17/2020,4385
6/18/2020,4682
6/19/2020,5019
6/20/2020,5313
6/21/2020,5370
6/22/2020,5587
6/23/2020,6089
6/24/2020,6318
6/25/2020,6546
6/26/2020,6836
6/27/2020,7086
6/28/2020,7525
6/29/2020,7568
6/30/2020,8004
7/1/2020,8387
7/2/2020,8577
7/3/2020,9024
7/4/2020,9313
7/5/2020,9621
7/6/2020,9873
7/7/2020,10184
7/8/2020,10485
7/9/2020,10835
7/10/2020,11172
7/11/2020,11443
7/12/2020,11767
7/13/2020,11856
7/14/2020,12114
7/15/2020,12406
7/16/2020,12697
7/17/2020,13058
7/18/2020,13270
7/19/2020,13449
7/20/2020,13594
7/21/2020,13848
7/22/2020,13990
7/23/2020,14143
7/24/2020,14428
7/25/2020,14800
7/26/2020,14963
7/27/2020,15109
7/28/2020,15292
7/29/2020,15601
7/30/2020,15884
7/31/2020,16167
8/1/2020,16475
8/2/2020,16655
