Date,Infected
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,0
3/13/2020,0
3/14/2020,0
3/15/2020,0
3/16/2020,0
3/17/2020,0
3/18/2020,0
3/19/2020,0
3/20/2020,1
3/21/2020,1
3/22/2020,1
3/23/2020,1
3/24/2020,1
3/25/2020,1
3/26/2020,2
3/27/2020,2
3/28/2020,2
3/29/2020,2
3/30/2020,2
3/31/2020,2
4/1/2020,3
4/2/2020,3
4/3/2020,3
4/4/2020,4
4/5/2020,4
4/6/2020,4
4/7/2020,5
4/8/2020,6
4/9/2020,7
4/10/2020,7
4/11/2020,8
4/12/2020,8
4/13/2020,10
4/14/2020,10
4/15/2020,12
4/16/2020,14
4/17/2020,14
4/18/2020,16
4/19/2020,19
4/20/2020,20
4/21/2020,23
4/22/2020,28
4/23/2020,28
4/24/2020,30
4/25/2020,30
4/26/2020,30
4/27/2020,30
4/28/2020,31
4/29/2020,31
4/30/2020,33
5/1/2020,33
5/2/2020,34
5/3/2020,34
5/4/2020,34
5/5/2020,35
5/6/2020,37
5/7/2020,38
5/8/2020,38
5/9/2020,40
5/10/2020,44
5/11/2020,45
5/12/2020,51
5/13/2020,50
5/14/2020,62
5/15/2020,69
5/16/2020,72
5/17/2020,75
5/18/2020,78
5/19/2020,97
5/20/2020,102
5/21/2020,123
5/22/2020,131
5/23/2020,143
5/24/2020,169
5/25/2020,186
5/26/2020,187
5/27/2020,188
5/28/2020,225
5/29/2020,262
5/30/2020,297
5/31/2020,330
6/1/2020,330
6/2/2020,365
6/3/2020,438
6/4/2020,462
6/5/2020,503
6/6/2020,530
6/7/2020,599
6/8/2020,615
6/9/2020,633
6/10/2020,688
6/11/2020,805
6/12/2020,833
6/13/2020,914
6/14/2020,970
6/15/2020,988
6/16/2020,1104
6/17/2020,1165
6/18/2020,1210
6/19/2020,1293
6/20/2020,1347
6/21/2020,1413
6/22/2020,1482
6/23/2020,1521
6/24/2020,1538
6/25/2020,1587
6/26/2020,1637
6/27/2020,1654
6/28/2020,1698
6/29/2020,1717
6/30/2020,1771
7/1/2020,1802
7/2/2020,1849
7/3/2020,1887
7/4/2020,1932
7/5/2020,1981
7/6/2020,2002
7/7/2020,2048
7/8/2020,2061
7/9/2020,2095
7/10/2020,2133
7/11/2020,2162
7/12/2020,2180
7/13/2020,2186
7/14/2020,2208
7/15/2020,2226
7/16/2020,2251
7/17/2020,2270
7/18/2020,2270
7/19/2020,2305
7/20/2020,2340
7/21/2020,2374
7/22/2020,2401
7/23/2020,2424
7/24/2020,2452
7/25/2020,2495
7/26/2020,2517
7/27/2020,2517
7/28/2020,2535
7/29/2020,2543
7/30/2020,2577
7/31/2020,2599
8/1/2020,2610
8/2/2020,2608
8/3/2020,2610
8/4/2020,2618
8/5/2020,2633
8/6/2020,2643
8/7/2020,2651
