Date,Infected
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,0
3/13/2020,0
3/14/2020,0
3/15/2020,0
3/16/2020,0
3/17/2020,0
3/18/2020,0
3/19/2020,0
3/20/2020,1
3/21/2020,1
3/22/2020,3
3/23/2020,3
3/24/2020,3
3/25/2020,4
3/26/2020,5
3/27/2020,9
3/28/2020,13
3/29/2020,12
3/30/2020,15
3/31/2020,21
4/1/2020,24
4/2/2020,34
4/3/2020,35
4/4/2020,43
4/5/2020,45
4/6/2020,49
4/7/2020,57
4/8/2020,58
4/9/2020,62
4/10/2020,62
4/11/2020,63
4/12/2020,63
4/13/2020,65
4/14/2020,70
4/15/2020,66
4/16/2020,68
4/17/2020,69
4/18/2020,72
4/19/2020,72
4/20/2020,71
4/21/2020,72
4/22/2020,73
4/23/2020,75
4/24/2020,75
4/25/2020,76
4/26/2020,76
4/27/2020,77
4/28/2020,77
4/29/2020,79
4/30/2020,79
5/1/2020,82
5/2/2020,87
5/3/2020,89
5/4/2020,93
5/5/2020,126
5/6/2020,140
5/7/2020,152
5/8/2020,170
5/9/2020,175
5/10/2020,177
5/11/2020,180
5/12/2020,206
5/13/2020,227
5/14/2020,243
5/15/2020,254
5/16/2020,260
5/17/2020,262
5/18/2020,267
5/19/2020,269
5/20/2020,273
5/21/2020,273
5/22/2020,284
5/23/2020,284
5/24/2020,285
5/25/2020,288
5/26/2020,291
5/27/2020,292
5/28/2020,294
5/29/2020,295
5/30/2020,296
5/31/2020,297
6/1/2020,297
6/2/2020,300
6/3/2020,304
6/4/2020,307
6/5/2020,314
6/6/2020,326
6/7/2020,327
6/8/2020,330
6/9/2020,340
6/10/2020,348
6/11/2020,359
6/12/2020,367
6/13/2020,374
6/14/2020,374
6/15/2020,374
6/16/2020,384
6/17/2020,387
6/18/2020,402
6/19/2020,417
6/20/2020,436
6/21/2020,456
6/22/2020,490
6/23/2020,510
6/24/2020,521
6/25/2020,564
6/26/2020,597
6/27/2020,628
6/28/2020,668
6/29/2020,755
6/30/2020,781
7/1/2020,771
7/2/2020,814
7/3/2020,861
7/4/2020,881
7/5/2020,929
7/6/2020,948
7/7/2020,969
7/8/2020,1016
7/9/2020,1037
7/10/2020,1058
7/11/2020,1082
7/12/2020,1123
7/13/2020,1156
7/14/2020,1189
7/15/2020,1229
7/16/2020,1254
7/17/2020,1299
7/18/2020,1335
7/19/2020,1375
7/20/2020,1394
7/21/2020,1448
7/22/2020,1463
7/23/2020,1478
7/24/2020,1522
7/25/2020,1539
7/26/2020,1567
7/27/2020,1599
7/28/2020,1627
7/29/2020,1661
7/30/2020,1698
7/31/2020,1733
8/1/2020,1778
8/2/2020,1818
8/3/2020,1858
8/4/2020,1883
8/5/2020,1904
8/6/2020,1936
8/7/2020,1966
8/8/2020,1980
8/9/2020,2004
