Date,Infected
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,0
3/13/2020,0
3/14/2020,0
3/15/2020,0
3/16/2020,0
3/17/2020,0
3/18/2020,0
3/19/2020,0
3/20/2020,1
3/21/2020,1
3/22/2020,1
3/23/2020,2
3/24/2020,2
3/25/2020,3
3/26/2020,4
3/27/2020,4
3/28/2020,4
3/29/2020,5
3/30/2020,6
3/31/2020,9
4/1/2020,12
4/2/2020,13
4/3/2020,13
4/4/2020,14
4/5/2020,13
4/6/2020,13
4/7/2020,13
4/8/2020,14
4/9/2020,15
4/10/2020,16
4/11/2020,15
4/12/2020,20
4/13/2020,20
4/14/2020,20
4/15/2020,20
4/16/2020,24
4/17/2020,28
4/18/2020,29
4/19/2020,29
4/20/2020,31
4/21/2020,32
4/22/2020,42
4/23/2020,42
4/24/2020,42
4/25/2020,53
4/26/2020,59
4/27/2020,62
4/28/2020,67
4/29/2020,72
4/30/2020,85
5/1/2020,89
5/2/2020,89
5/3/2020,98
5/4/2020,115
5/5/2020,115
5/6/2020,134
5/7/2020,148
5/8/2020,159
5/9/2020,176
5/10/2020,191
5/11/2020,199
5/12/2020,207
5/13/2020,283
5/14/2020,285
5/15/2020,310
5/16/2020,363
5/17/2020,363
5/18/2020,443
5/19/2020,443
5/20/2020,459
5/21/2020,508
5/22/2020,508
5/23/2020,604
5/24/2020,670
5/25/2020,670
5/26/2020,797
5/27/2020,838
5/28/2020,936
5/29/2020,936
5/30/2020,982
5/31/2020,1105
6/1/2020,1137
6/2/2020,1289
6/3/2020,1520
6/4/2020,1643
6/5/2020,1815
6/6/2020,1850
6/7/2020,2231
6/8/2020,2257
6/9/2020,2378
6/10/2020,2439
6/11/2020,2588
6/12/2020,2962
6/13/2020,3144
6/14/2020,3144
6/15/2020,3404
6/16/2020,3467
6/17/2020,3467
6/18/2020,3637
6/19/2020,4078
6/20/2020,4403
6/21/2020,4604
6/22/2020,4604
6/23/2020,4940
6/24/2020,5131
6/25/2020,5364
6/26/2020,5524
6/27/2020,5680
6/28/2020,5793
6/29/2020,5895
6/30/2020,6225
7/1/2020,6498
7/2/2020,6683
7/3/2020,6838
7/4/2020,7062
7/5/2020,7346
7/6/2020,7445
7/7/2020,7599
7/8/2020,7775
7/9/2020,7899
7/10/2020,7994
7/11/2020,8143
7/12/2020,8302
7/13/2020,8384
7/14/2020,8629
7/15/2020,8851
7/16/2020,8949
7/17/2020,9035
7/18/2020,9086
7/19/2020,9300
7/20/2020,9374
7/21/2020,9669
7/22/2020,9713
7/23/2020,9794
7/24/2020,9930
7/25/2020,10138
7/26/2020,10289
7/27/2020,10434
7/28/2020,10562
7/29/2020,10657
7/30/2020,10761
7/31/2020,10880
8/1/2020,11078
8/2/2020,11142
8/3/2020,11203
8/4/2020,11217
8/5/2020,11314
